,Awards
0,northwestern university united states naval sea cadet corps presidential fitness award
1,css merit scholarship carnegie mellon university merit student scholarship wuhan university erasmus international mobility scholarship erasmus program honorable mention
2,support decision making graduate assistantship scholarship georgia state university
3,app layout obtained outstanding student scholarships six times
4,dolman law group scholarship 
5,future eli shay scholarship
6,george washington university merit awards
7,leadership award edward frank kraft award recipient
8,business team madame sarah abbot award
9,received tech star recognition award
